Program,Full name,Microb,Phyto,Zoo,allFish,TBM,BentInv,Macroalg,Seagrass,Mangrove,Coral
AIMS_LTMP,AIMS Long-term Monitoring Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMBON,Arctic Marine Biodiversity Observing Network,NA,1,1,NA,1,1,NA,NA,NA,NA
AMT,Atlantic Meridional Transect,1,1,1,NA,NA,NA,NA,NA,NA,NA
Antares,Antares Marine Monitoring Network,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
AOOS,Alaska Ocean Observing System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWI_LTO,AWI long-term observations,NA,1,1,NA,1,1,NA,NA,NA,NA
BalearesOMN,Balearic Islands ocean observing and monitoring network,NA,1,NA,1,1,NA,NA,NA,NA,NA
BASEcosystems,BAS Ecosystems,NA,NA,1,NA,1,NA,NA,NA,NA,NA
BioArgo,Biogeochemical Argo,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
BioRaTS,Rothera Biology Monitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CalCOFI,California Cooperative Oceanic Fisheries Investigations,NA,1,1,NA,1,NA,NA,NA,NA,NA
CARIACO,The CARIACO Ocean Time-Series Program,1,1,1,NA,NA,NA,NA,NA,NA,NA
CARICOMP,Caribbean Coastal Marine Productivity,NA,NA,NA,NA,NA,NA,1,1,1,1
CBMP,Circumpolar Biodiversity Monitoring Programme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEMP,CCAMLR Ecosystem Monitoring Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHINAnational,National Basic Research Program of China,NA,1,1,1,NA,1,NA,NA,NA,NA
CLIOTOP,Climate Impacts on Top Predators,NA,1,1,1,1,NA,NA,NA,NA,NA
CORMP,Coastal Ocean Research and monitoring Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPRsurvey,Continuous Plankton Recorder Survey,1,1,1,NA,NA,NA,NA,NA,NA,NA
EC-DCF,European Commission - Data Collection Framework,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
ECIM,Estación Costera de Investigaciones Marinas & marine reserve,NA,NA,NA,1,NA,1,1,1,NA,1
EGO,Glider network,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
EIREmicrocystins,Near-real-time detection of microcystins in western Lake Erie,1,1,NA,NA,NA,NA,NA,NA,NA,NA
EMBOS,European Marine Biodiversity Observatory System,NA,1,1,NA,NA,1,1,1,NA,NA
ESP,"Environmental Sample Processor (specifically networks incorporating ESPs, but not considered sustained operations)",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
FerryBox,North Sea Monitoring,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
FKNMS MBON,Marine Biodiversity Observation Network - Florida Keys National Marine Sanctuary,NA,1,1,1,NA,1,NA,NA,NA,1
GCOOS,Gulf of Mexico Coastal Ocean Observing System,1,1,1,1,1,1,1,1,1,1
GCRMN,Global Coral Reef Monitoring Network,NA,NA,NA,1,NA,1,NA,NA,NA,1
HAUSGARTEN,LTER Observatory HAUSGARTEN,NA,1,1,NA,NA,1,NA,NA,NA,NA
HELCOM,HELCOM Coordinated Monitoring Programme,NA,1,1,1,1,1,1,1,NA,NA
HELGOLANDroads,Helgoland Roads,NA,1,1,NA,NA,NA,NA,NA,NA,NA
HOT,Hawaii Ocean Time-series,1,1,NA,NA,NA,NA,NA,NA,NA,NA
HUFO-DAT,Hokkaido University Long-term Fisheries and Oceanographic Database,NA,NA,1,NA,NA,1,NA,NA,NA,NA
ICES_survey,ICES survey programme,NA,NA,1,1,NA,NA,NA,NA,NA,NA
IEO,Instituto Español de Oceanografía,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGMETS,International Group for Marine Ecological Time Series,NA,1,1,NA,NA,NA,NA,NA,NA,NA
IMOS,Integrated Marine Observing System,1,1,1,1,1,NA,1,1,NA,1
IndiSeas,Indicators for the Seas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IOOSatn/SECOORA,"IOOS ATN, SECOORA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISRAELmon,Israel monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAPAN_zoop,"Monitoring Sites 1000 Project: Coastal Area Survey (Rocky Shores, Tidal Flats, Seagrass Beds and Algal Beds)",NA,NA,1,NA,NA,NA,NA,NA,NA,NA
JAPAN1000,Zooplankton Sample Collection of Japan Fisheries Research and Education Agency,NA,NA,NA,NA,NA,1,1,1,NA,NA
KEEN,Kelp Ecosystem Ecology Network,NA,NA,NA,NA,NA,1,1,1,NA,NA
LTER,Long Term Ecological Research Network,NA,NA,NA,1,1,NA,1,1,NA,NA
LTER/ILTER,Long-Term Ecosystem Research in Europe,NA,1,NA,NA,NA,1,NA,NA,NA,NA
LTER_Europe,Long Term Ecosystem Research in Europe and International Long Term Ecological Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTER_Italy,Italian Long Term Ecological Research Network,NA,1,1,NA,NA,1,NA,NA,NA,NA
LTER-MC,"Long-term variations of plankton at the LTER- Marechiara site (Gulf of Naples, Mediterranean Sea)",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
LTOBenthosGBight,Long-term observation German Bight macrozoobenthos (North Sea),NA,NA,NA,NA,NA,1,NA,NA,NA,NA
MARINe,Multiagency rocky intertidal Network,NA,NA,NA,NA,NA,1,1,1,NA,NA
MarineGEO,Smithsonian Marine Global Earth Observatory,NA,NA,NA,1,NA,1,1,1,1,1
MARMAP,MARMAP- SEAMAP-SA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
MedCPR,Mediterranean Continuous Plankton Recorder Survey,NA,1,1,NA,NA,NA,NA,NA,NA,NA
MMP,Reef Rescue Marine Monitoring Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
MondegoEstuary,"Long-term monitoring plan of the Mondego estuary, Portugal",NA,NA,1,1,NA,1,NA,NA,NA,NA
NaGISA,Natural Geography in Shore Areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCRMP,National Coral Reef Monitoring Program,NA,NA,NA,NA,NA,1,NA,NA,NA,1
NEPTUNE&VENUS,NEPTUNE&VENUS (Canada),NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NHC,US Harmful Algal Bloom National HAB Committee,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NOOS,North West Shelf Operational Oceanography System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NPCPRsurvey,North Pacific CPR Survey,NA,1,1,NA,NA,NA,NA,NA,NA,NA
OBISJapan,Ocean Biogeographic information system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ODV,Ocean Data Viewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMORN,Off-Shore Marine Observation and Research Network,NA,1,1,NA,NA,1,NA,NA,NA,NA
ORKNEYkrill,Monitoring krill abundance in the South Orkney Islands,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
ORNITHOECO,Seabirds and marine mammals as sentinels of the SOuthern Ocean,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
OSD,Ocean Sampling Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OTN,Ocean Tracking Network,NA,NA,NA,1,1,NA,NA,NA,NA,NA
PacificRAMP,Pacific Reef Assessment and Monitoring Program (of NOAA’s National Coral Reef Monitoring Program),1,NA,1,1,1,1,1,1,NA,1
PICO,Pivers Island Coastal Observatory (Beaufort NC USA),NA,1,1,NA,NA,NA,NA,NA,NA,NA
POSEIDON,POSEIDON,NA,1,1,NA,NA,NA,NA,NA,NA,NA
REDCALIDAD,Basque monitoring network for the ecological status assessment,NA,1,NA,NA,NA,1,NA,NA,NA,NA
RLS,Reef Life Survey,NA,NA,NA,NA,NA,1,1,1,NA,1
SA-CPR,South African CPR Survey,NA,1,1,NA,NA,NA,NA,NA,NA,NA
SAEON,South African Environmental Observation Network,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
SARCE,South American Research Group in Coastal Ecosystems,NA,NA,NA,NA,NA,1,1,1,NA,NA
SBC_MBON,Santa Barbara Channel Biodiversity Observation Network,NA,1,1,1,NA,1,1,1,NA,NA
SCCOOS,Southern CAlifornia Coastal Ocean Observing System,NA,1,1,NA,1,1,NA,NA,NA,NA
SeagrassNet,SeagrassNet Global Monitoring,NA,NA,NA,NA,NA,NA,1,1,NA,NA
SewardLine,Seward Line,NA,1,1,NA,1,NA,NA,NA,NA,NA
SIBER,Sustained Indian Ocean Biogeochemistry and Ecosystem research,NA,1,1,NA,NA,NA,NA,NA,NA,NA
SIRAL,Sistema informativo regionale ambientale della liguria,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
SloveniaMon,Monitoring for chemical and ecological statuss assessment for costal and teritorial waters,NA,1,1,NA,NA,NA,1,1,NA,NA
SloveniaNatMon,National monitoring of the ecological and chemical status of the Slovenian sea,NA,1,NA,1,NA,1,1,1,NA,NA
SLW,Swedish LifeWatch,NA,1,1,NA,1,1,NA,NA,NA,NA
SOCPRsurvey,SCAR Southern Ocean Continuous Plankton Recorder Survey,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
SO-MEMO,Observing System: Mammal as Ocean Samplers (Mammifères Echantillonneurs du Milieu Océanique),NA,1,NA,1,1,NA,NA,NA,NA,NA
SONA,Southern Ocean Network of Acoustics,NA,NA,1,1,NA,NA,NA,NA,NA,NA
SOT,Ship Observations Team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOTS,IMOS Southern Ocean Time Series Facility,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
SPOT/MO/DOB,"USC Wrigley Institute San Pedro Ocean Time-series (SPOT), USC Microbial Observatory/Dimensions of Biodiversity, and other partner time-series programs at USC",1,1,1,NA,NA,NA,NA,NA,NA,NA
TABS,Texas Automated Buoy System,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOE,Tara Oceans Expedition (2009-2013),NA,1,1,1,NA,NA,NA,NA,NA,NA
UcapeTown,University of Cape Town Marine Ecological Survey,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
USAMLR,United States Antarctic Living Marine Resources Program,1,1,1,1,1,1,NA,NA,NA,1
VAS&VBS,Virtual Antenna System and Virtual Buoy System,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
VELMU,The Finnish Inventory Programme for the Underwater Marine Environment,NA,NA,NA,NA,NA,1,1,1,NA,NA
WCO,Western Channel Observatory,NA,1,1,NA,NA,NA,NA,NA,NA,NA
WHITESea,WHITESea,NA,NA,1,NA,NA,1,NA,NA,NA,NA
WPOS,Western Pacific Ocean System: Structure Dynamics and Consequences,1,1,1,NA,NA,1,NA,NA,NA,NA
ZATA,"Zone Atelier Terres Australes, CNRS",1,1,1,1,1,1,NA,NA,NA,NA
ZEN,Zostera Experimental Network,NA,NA,NA,NA,NA,1,1,1,NA,NA